timestamp,speed,location,latitude,longitude,direction,vehicle_type,data_source,processing_timestamp
2025-08-12 14:12:00,30,"{'type': 'Point', 'coordinates': [-87.757390100076, 41.978571315477]}",,-87.7573901001,N,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 14:10:00,30,"{'type': 'Point', 'coordinates': [-87.580147768689, 41.791420282098]}",,-87.5801477687,S,TURNING,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:51:00,30,"{'type': 'Point', 'coordinates': [-87.653707526216, 41.965555391103]}",,-87.6537075262,W,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:50:00,30,"{'type': 'Point', 'coordinates': [-87.576411450261, 41.764492418494]}",,-87.5764114503,S,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:37:00,30,"{'type': 'Point', 'coordinates': [-87.762450572332, 41.792823732509]}",,-87.7624505723,S,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:36:00,30,"{'type': 'Point', 'coordinates': [-87.73460121701, 41.91900921994]}",Y,-87.734601217,W,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:35:00,30,"{'type': 'Point', 'coordinates': [-87.733041409916, 41.990067049143]}",,-87.7330414099,N,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:30:00,30,"{'type': 'Point', 'coordinates': [-87.675467736851, 41.743019734353]}",Y,-87.6754677369,W,REAR END,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:30:00,30,"{'type': 'Point', 'coordinates': [-87.63629770323, 41.886025412541]}",,-87.6362977032,W,SIDESWIPE SAME DIRECTION,chicago_traffic_crashes,2025-08-13 20:54:44.297362
2025-08-12 13:30:00,25,"{'type': 'Point', 'coordinates': [-87.631030008305, 41.893632293807]}",,-87.6310300083,N,PARKED MOTOR VEHICLE,chicago_traffic_crashes,2025-08-13 20:54:44.297362
