record_id,atd_device_id,read_date,intersection_name,direction,movement,heavy_vehicle,volume,speed_average,speed_stddev,seconds_in_zone_average,seconds_in_zone_stddev,month,day,year,hour,minute,day_of_week,bin_duration
cec3d01338fec9a3feeac33f6d58f8fc,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,RIGHT TURN,True,1,13.0,0.0,3.2,0.0,11,14,2019,22,0,4,900
6c054022778deb7277923c1889f4b127,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,58,35.741,13.559,1.262,1.713,11,14,2019,22,0,4,900
b780ad34e03bfd50ab072d983bae5130,6197,2019-11-14T22:00:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,79,34.266,10.794,0.851,0.881,11,14,2019,22,0,4,900
3f84ff8fa4ef0aa8897977737f07c6d6,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,8,9.875,7.415,4.95,7.793,11,14,2019,22,15,4,900
e1c70282061e02442954e077d0e83ef6,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,4,35.0,20.607,1.25,0.597,11,14,2019,22,15,4,900
812151b8347c30a631b56348918115a3,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,6,12.833,1.169,3.75,0.855,11,14,2019,22,15,4,900
8d1c7c32c51c64bc8c4be30aa8003ec2,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,True,6,20.667,8.359,1.85,1.608,11,14,2019,22,15,4,900
4bad6aac818b9988ac844d20acc3d179,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,False,46,30.152,12.002,1.452,1.215,11,14,2019,22,15,4,900
78f230d7aad5095cbd9828e1c28f2417,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,True,27,23.556,11.44,2.367,2.36,11,14,2019,22,15,4,900
1aadbabe7d7130fcb21bbcd1ad149715,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,8,14.25,7.44,3.538,1.963,11,14,2019,22,15,4,900
